Date,Underlying,Price,,,,
1/24/2017,AMZN,1160.7,,,,
11/22/2017,AMZN,1141,,,,
11/21/2017,AMZN,1132.86,,,,
11/20/2017,AMZN,1129.77,,,,
11/17/2017,AMZN,1138.28,,,,
11/16/2017,AMZN,1130.16,,,,
11/15/2017,AMZN,1127.01,,,,
11/14/2017,AMZN,1130.11,,,,
11/13/2017,AMZN,1123,,,,
11/10/2017,AMZN,1126.1,,,,
11/9/2017,AMZN,1125.96,,,,
11/8/2017,AMZN,1122.82,,,,
11/7/2017,AMZN,1124.74,,,,
11/6/2017,AMZN,1109.15,,,,
11/3/2017,AMZN,1091.15,,,,
11/2/2017,AMZN,1097.81,,,,
11/1/2017,AMZN,1105.4,,,,
10/31/2017,AMZN,1109,,,,
10/30/2017,AMZN,1095.01,,,,
10/27/2017,AMZN,1058.14,,,,
10/26/2017,AMZN,980.33,,,,
10/25/2017,AMZN,978,,,,
10/24/2017,AMZN,969,,,,
10/23/2017,AMZN,986.73,,,,
10/20/2017,AMZN,993.53,,,,
10/19/2017,AMZN,990,,,,
10/18/2017,AMZN,1009.27,,,,
10/17/2017,AMZN,1005.59,,,,
10/16/2017,AMZN,1008.44,,,,
10/13/2017,AMZN,1007,,,,
10/12/2017,AMZN,996.81,,,,
10/11/2017,AMZN,991.27,,,,
10/10/2017,AMZN,996.67,,,,
10/9/2017,AMZN,993.24,,,,
10/6/2017,AMZN,975.64,,,,
10/5/2017,AMZN,970,,,,
10/4/2017,AMZN,954.21,,,,
10/3/2017,AMZN,958,,,,
10/2/2017,AMZN,964,,,,
09/29/2017,AMZN,960.11,,,,
09/28/2017,AMZN,951.86,,,,
09/27/2017,AMZN,948,,,,
09/26/2017,AMZN,945.49,,,,
09/25/2017,AMZN,949.31,,,,
09/22/2017,AMZN,961.01,,,,
09/21/2017,AMZN,971.31,,,,
09/20/2017,AMZN,971.79,,,,
09/19/2017,AMZN,977.25,,,,
09/18/2017,AMZN,990.4,,,,
09/15/2017,AMZN,993.01,,,,
09/14/2017,AMZN,996.8,,,,
09/13/2017,AMZN,983.97,,,,
9/12/2017,AMZN,983.27,,,,
9/11/2017,AMZN,974.46,,,,
9/8/2017,AMZN,979.1,,,,
9/7/2017,AMZN,974,,,,
9/6/2017,AMZN,968.32,,,,
9/5/2017,AMZN,975.4,,,,
9/1/2017,AMZN,984.2,,,,
08/31/2017,AMZN,974.7,,,,
08/30/2017,AMZN,958.44,,,,
08/29/2017,AMZN,940,,,,
08/28/2017,AMZN,946.54,,,,
08/25/2017,AMZN,956,,,,
08/24/2017,AMZN,957.42,,,,
