Date,SGDUSD,SGDCNY
2019/7/1,1.3529,0.1978
2019/7/2,1.3565,0.1976
2019/7/3,1.3558,0.197
2019/7/4,1.3555,0.1973
2019/7/5,1.356,0.1972
2019/7/6,1.356,0.1972
2019/7/7,1.356,0.1972
2019/7/8,1.3612,0.1975
2019/7/9,1.3608,0.1977
2019/7/10,1.3623,0.1978
2019/7/11,1.3552,0.1975
2019/7/12,1.3577,0.1976
2019/7/13,1.3577,0.1976
2019/7/14,1.3577,0.1976
2019/7/15,1.3564,0.1973
2019/7/16,1.356,0.1973
2019/7/17,1.3604,0.1977
2019/7/18,1.3591,0.1976
2019/7/19,1.3564,0.1973
2019/7/20,1.3564,0.1973
2019/7/21,1.3564,0.1973
2019/7/22,1.3609,0.1978
2019/7/23,1.363,0.198
2019/7/24,1.3653,0.1984
2019/7/25,1.3649,0.1985
2019/7/26,1.3682,0.1989
2019/7/27,1.3682,0.1989
2019/7/28,1.3682,0.1989
2019/7/29,1.3718,0.199
2019/7/30,1.3692,0.1988
2019/7/31,1.3694,0.199
2019/8/1,1.3762,0.1995
2019/8/2,1.3763,0.1985
2019/8/3,1.3763,0.1985
2019/8/4,1.3763,0.1985
2019/8/5,1.3826,0.1967
2019/8/6,1.3818,0.1961
2019/8/7,1.3834,0.1963
2019/8/8,1.3815,0.1961
2019/8/9,1.3815,0.1961
2019/8/10,1.3815,0.1961
2019/8/11,1.3815,0.1961
2019/8/12,1.3815,0.1961
2019/8/13,1.3877,0.1964
2019/8/14,1.3845,0.1972
2019/8/15,1.3886,0.1975
2019/8/16,1.3873,0.1971
2019/8/17,1.3873,0.1971
2019/8/18,1.3873,0.1971
2019/8/19,1.3848,0.1966
2019/8/20,1.3854,0.196
2019/8/21,1.3838,0.1962
2019/8/22,1.3853,0.1959
2019/8/23,1.3867,0.1955
2019/8/24,1.3867,0.1955
2019/8/25,1.3867,0.1955
2019/8/26,1.389,0.1945
2019/8/27,1.3895,0.1941
2019/8/28,1.389,0.1941
2019/8/29,1.3887,0.1938
2019/8/30,1.3887,0.1942
2019/8/31,1.3887,0.1942
2019/9/1,1.3887,0.1942
2019/9/2,1.3892,0.194
2019/9/3,1.394,0.1941
2019/9/4,1.3898,0.1939
2019/9/5,1.3836,0.1939
2019/9/6,1.3844,0.1937
2019/9/7,1.3844,0.1937
2019/9/8,1.3844,0.1937
2019/9/9,1.3803,0.1937
2019/9/10,1.3805,0.194
2019/9/11,1.3793,0.1938
2019/9/12,1.3763,0.1942
2019/9/13,1.3737,0.194
2019/9/14,1.3737,0.194
2019/9/15,1.3737,0.194
2019/9/16,1.3733,0.1942
2019/9/17,1.3765,0.1942
2019/9/18,1.3755,0.1941
2019/9/19,1.3789,0.1941
2019/9/20,1.3758,0.1941
2019/9/21,1.3758,0.1941
2019/9/22,1.3758,0.1941
2019/9/23,1.3761,0.1934
2019/9/24,1.3777,0.1936
2019/9/25,1.3764,0.1934
2019/9/26,1.3789,0.1935
2019/9/27,1.3824,0.1938
2019/9/28,1.3824,0.1938
2019/9/29,1.3824,0.1938
2019/9/30,1.3813,0.1939
