"timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
2020-05-28,127.8,128.61,127.43,127.82,126.5782,3328517,0,1
2020-05-29,127.66,128.38,127.35,128.13,126.8851,2285059,0,1
2020-06-01,127.52,128.77,127.52,128.5,127.2515,1086889,0,1
2020-06-02,128.67,128.75,111.27,117.03,115.893,9547213,0,1
2020-06-03,117,117.68,112.45,114.24,113.1301,8826712,0,1
2020-06-04,113.27,115.22,112.5,114.53,113.4173,4262503,0,1
2020-06-05,124.05,124.19,120,121.99,120.8048,8127022,0,1
2020-06-08,122.35,123.5,121.51,122.18,120.993,2704157,0,1
2020-06-09,124.05,125,123.74,124.56,123.3498,3003336,0,1
2020-06-10,121.62,123.38,120.82,121.05,119.8739,3132007,0,1
2020-06-11,120.42,121.56,119,119.47,118.3093,3188055,0,1
2020-06-12,120.23,120.5,118.21,119.12,117.9627,1563273,0,1
2020-06-15,118.25,120.34,118.11,120.1,118.9332,2327275,0,1
2020-06-16,120.95,121.47,120.15,120.76,119.5867,1899963,0,1
2020-06-17,121.31,121.87,120.52,121.49,120.3097,981413,0,1
2020-06-18,121.33,121.5,120.33,120.9,119.7254,1291942,0,1
2020-06-19,121.52,121.52,120.2,120.88,120.2799,2330233,0.58,1
2020-06-22,120.39,122,120.32,121.91,121.3048,1424112,0,1
2020-06-23,122.12,122.4,120.73,121.94,121.3347,1816550,0,1
2020-06-24,121.49,121.98,120.25,121.44,120.8372,2795786,0,1
2020-06-25,121.58,121.58,120.13,120.35,119.7526,1689493,0,1
2020-06-26,120.5,120.95,119.12,119.57,118.9764,1887459,0,1
2020-06-29,119.72,120.91,119.62,120.31,119.7128,1207232,0,1
2020-06-30,120.99,122.26,120.74,121.94,121.3347,1877707,0,1
2020-07-01,121.83,123.3,120.5,122.23,121.6232,2352122,0,1
2020-07-02,122.26,122.74,121.75,122.22,121.6133,853229,0,1
2020-07-06,122.8,123.16,122.22,122.91,122.2999,1037600,0,1
2020-07-07,122.74,123,121.52,122.01,121.4043,926793,0,1
2020-07-08,121.6,122.42,120.53,121.58,120.9765,1031351,0,1
2020-07-09,122,122,120.64,120.99,120.3894,1169144,0,1
2020-07-10,120.52,121.57,120.49,121.3,120.6979,1475859,0,1
2020-07-13,121.54,121.85,120.63,121.17,120.5685,775954,0,1
2020-07-14,120.78,121.79,120.59,121.74,121.1357,739717,0,1
2020-07-15,122.46,122.91,121.55,122.5,121.8919,1217807,0,1
2020-07-16,122.18,122.59,121.53,122.02,121.4143,1208761,0,1
2020-07-17,122.69,122.69,121.13,121.75,121.1456,1184294,0,1
2020-07-20,121.62,122.49,121.03,121.41,120.8073,1206497,0,1
2020-07-21,121.71,122.58,121.55,122.25,121.6431,612576,0,1
2020-07-22,122.1,122.36,121.48,121.65,121.0461,805524,0,1
2020-07-23,121.75,122.085,121.07,121.61,121.0063,940824,0,1
2020-07-24,121.79,121.96,120.82,121.41,120.8073,1353986,0,1
2020-07-27,121.59,126.035,121.4,125,124.3795,4245518,0,1
2020-07-28,125.65,125.8,124.6499,124.95,124.3297,973981,0,1
2020-07-29,125.5,125.5,124.57,124.9,124.28,740960,0,1
2020-07-30,124.69,125.2,124.5,124.65,124.0312,418183,0,1
2020-07-31,124.72,125.41,124.5,125.36,124.7377,711053,0,1
2020-08-03,124.87,125.78,124.45,125.47,124.8472,999881,0,1
2020-08-04,125.95,125.95,125.07,125.52,124.8969,1075097,0,1
2020-08-05,125.71,125.74,125,125.21,124.5885,623754,0,1
2020-08-06,125.19,125.32,124.87,125.03,124.4093,768525,0,1
2020-08-07,124.92,125.1,124.615,124.82,124.2004,1265425,0,1
2020-08-10,124.74,125.78,124.74,125.18,124.5586,833168,0,1
2020-08-11,125.45,125.74,124.585,124.98,124.3596,1314772,0,1
2020-08-12,124.92,125.33,124.6,125,124.3795,555019,0,1
2020-08-13,124.79,125.06,124,124.8,124.1805,757628,0,1
2020-08-14,124.77,125.065,124.63,125,124.3795,728727,0,1
2020-08-17,125,125.43,124.81,125.42,124.7974,1277889,0,1
2020-08-18,125.55,126.37,125.2,126.14,125.5138,854944,0,1
2020-08-19,126.02,127.44,126,127.25,126.6183,938539,0,1
2020-08-20,126.97,127.33,126.55,126.8,126.1706,722946,0,1
2020-08-21,126.33,126.545,125.81,126.01,125.3845,1117258,0,1
2020-08-24,126.1,130,124.75,127.03,126.3994,2566605,0,1
2020-08-25,122.26,123.75,121.7,121.99,121.3844,3603790,0,1
2020-08-26,122.07,122.43,120.99,121.52,120.9168,2176446,0,1
2020-08-27,123.22,124.32,123.07,123.23,122.6183,1578528,0,1
2020-08-28,123.81,124.61,123.535,123.88,123.2651,967000,0,1
2020-08-31,123.73,123.8,122.04,122.5,121.8919,1280786,0,1
2020-09-01,122,123.51,122,123.49,122.877,843044,0,1
2020-09-02,123.52,123.75,121.28,122.39,121.7824,1043890,0,1
2020-09-03,122.63,122.77,121.46,122.17,121.5635,674069,0,1
2020-09-04,122.16,122.55,121.25,121.79,121.1854,1884602,0,1
2020-09-08,121.82,122.66,121.33,121.81,121.2053,1412083,0,1
2020-09-09,109.57,115.15,108.11,113.96,113.3943,11457364,0,1
2020-09-10,114.06,116,113.44,114.36,113.7923,3675102,0,1
2020-09-11,114.25,114.75,113.42,113.81,113.245,2922754,0,1
2020-09-14,113.5,114.035,112.77,113.19,112.6281,1886873,0,1
2020-09-15,113.32,114.14,112.86,114.05,113.4838,1203164,0,1
2020-09-16,114.49,116.15,114.05,115.86,115.2849,2507117,0,1
2020-09-17,115.81,116.3,114.8,115.2,114.6281,1643839,0,1
2020-09-18,114.65,116.99,114.65,116.26,116.26,2618268,0.58,1
2020-09-21,115.6,115.78,114.5897,115.21,115.21,1685836,0,1
2020-09-22,115.4,116.77,114.74,116.27,116.27,1766187,0,1
2020-09-23,115.7,116.87,115.7,116.42,116.42,1586419,0,1
2020-09-24,115.5,116.9,115.14,116.14,116.14,1789095,0,1
2020-09-25,115.9,116.17,115.53,115.65,115.65,784789,0,1
2020-09-28,116,116.83,115.83,116.7,116.7,775752,0,1
2020-09-29,116.75,116.8,115.59,116.44,116.44,905570,0,1
2020-09-30,116.34,116.65,115.75,115.85,115.85,1187201,0,1
2020-10-01,116.2,116.31,115.75,116.03,116.03,1089597,0,1
2020-10-02,115.28,116.26,115.28,116.11,116.11,890955,0,1
2020-10-05,116.38,117.17,116.11,116.99,116.99,1492179,0,1
2020-10-06,117.33,117.45,116.52,117,117,973911,0,1
2020-10-07,117.11,117.7,116.87,117.7,117.7,682384,0,1
2020-10-08,117.7,118,117.44,117.97,117.97,414303,0,1
2020-10-09,118.34,118.45,117.63,118.41,118.41,415541,0,1
2020-10-12,118.75,118.81,118.0178,118.68,118.68,605507,0,1
2020-10-13,118.49,119.07,118,118.96,118.96,895675,0,1
2020-10-14,119.9,119.96,118.77,119.06,119.06,707018,0,1
2020-10-15,118.76,121.98,118.76,121.69,121.69,2208816,0,1
2020-10-16,121.82,123.515,121.765,122.72,122.72,2025415,0,1
